0,14026475694444437 0,051444589120370365
0,14495428389507753 0,05177064043209876
0,14831266215605066 0,0510768711419753
0,15173845047248402 0,05007663001543209
0,15489797805785646 0,04891708461934156
0,1569808303778285 0,04768399562757201
0,1588522698871751 0,046536747685185176
0,160994920350138 0,04795867091049382
0,16216254433257157 0,04897849151234567
0,16326478149100215 0,049854166666666665
0,16465086240240884 0,051123312114197524
0,16983618519708665 0,051998553240740736
0,1742975742049891 0,05124604552469135
0,1768976497786346 0,05035850694444444
0,1789978979220222 0,04935098379629629
0,18077601340093308 0,04840721450617283
0,182587854363039 0,047419270833333325
0,18467067197070675 0,046426472479423865
0,18634645309673412 0,04767428626543209
0,1876506712367895 0,04882638888888888
0,1885573194365102 0,04975543338477365
0,1912210257634723 0,05064050443672839
0,19671240508664187 0,051243537808641965
0,20051538102208893 0,05019434799382715
0,2033361276738392 0,049115708590534976
0,2051733284537751 0,04799054783950617
0,2072357302675427 0,04673302469135802
0,20899792023707509 0,045573495370370365
0,2108380492478338 0,04660050154320987
0,21246931680234213 0,04775260416666666
0,21441346371274866 0,04872096836419752
0,21628002118442338 0,04962307098765431
0,22152477640317053 0,050329137731481476
0,22597368013900787 0,04941473765432098
0,22837730142578314 0,04834095293209876
0,2298605829881938 0,04733342978395061
0,23164478551762982 0,046227848508230446
0,2332357545661556 0,045203092849794235
0,23460756748071968 0,04416377314814814
0,23704013511020652 0,04558569637345679
0,23915324416238212 0,046865306712962955
0,2411340956155383 0,048068865740740735
0,24585024318448698 0,04898083847736625
0,25180199258545183 0,048260127314814806
0,25303280907835857 0,0472721836419753
0,25386712427401703 0,04609047067901234
0,25470523302865855 0,04495794753086419
0,2554697616157289 0,04357040895061728
0,2565350301699514 0,04208246527777777
0,25880543059125954 0,04328124999999999
0,26152793770232313 0,04446272183641974
0,26415031965073477 0,04575948431069958
0,26904117424783397 0,04704176311728395
0,2739337979327337 0,046482783564814806
0,2762189820765496 0,04551215277777777
0,27813774189517293 0,04427170138888888
0,2789721165976388 0,042850019290123456
0,280398271624774 0,041342496141975306
0,2828104544534894 0,039898244598765426
0,2844574144490463 0,04125382587448559
0,2863229888186709 0,04238392168209876
0,2878863665440826 0,04335479359567901
0,28969405318718455 0,04443335262345678
0,2941028530538894 0,04536005015432098
0,2989090207857279 0,04507817322530863
0,30099225370132343 0,04385001929012345
0,3026237419269097 0,04264387217078189
0,30406596379209117 0,04134468235596707
0,3052018024612013 0,04029031635802473
0,3062518707452631 0,03908675733024693
0,3084785522588783 0,03783902391975308
0,31109075234456807 0,039229070216049364
0,3133535433328572 0,04056992669753086
0,31497687416690473 0,04161911651234568
0,31744447023072775 0,04278845164609053
0,32166537487305213 0,04362445344650205
0,32628233947046864 0,04276887217078189
0,32867250478038024 0,04176134902263374
0,3305851304389222 0,04067283950617283
0,3314377266217599 0,039542984825102837
0,33187631162921694 0,038581822273662546
0,33272727385429557 0,03761596579218106
0,33390622768494704 0,03666232638888889
0,3359040869275445 0,0355077160493827
0,3378300135973054 0,03717963927469134
0,33916168297153193 0,03844695216049383
0,3405633658240503 0,039915316358024706
0,3421535997155575 0,041001398533950614
0,3451303087510711 0,042178096064814805
0,34957740496762824 0,04242081404320987
0,3532819603625156 0,041275993441358017
0,355299889515694 0,0401408822016461
